website,source,size,hash
booklive.jp,td.doubleclick.net/td/bjs,148531,537bf9a5daed0e8bfdb9ae5efb8e870c60ff38b38523b33b59dc9fe5e76ed35e
codecanyon.net,td.doubleclick.net/td/bjs,148531,537bf9a5daed0e8bfdb9ae5efb8e870c60ff38b38523b33b59dc9fe5e76ed35e
eu.govee.com,td.doubleclick.net/td/bjs,162752,eb8792e21d89b6b83e46f9eea321455bbe02a7bffb88996382d8b25f5b3106da
eu.patagonia.com,td.doubleclick.net/td/bjs,148531,537bf9a5daed0e8bfdb9ae5efb8e870c60ff38b38523b33b59dc9fe5e76ed35e
eu.puma.com,td.doubleclick.net/td/bjs,148531,537bf9a5daed0e8bfdb9ae5efb8e870c60ff38b38523b33b59dc9fe5e76ed35e
eu.wargaming.net,td.doubleclick.net/td/bjs,148531,537bf9a5daed0e8bfdb9ae5efb8e870c60ff38b38523b33b59dc9fe5e76ed35e
ezmob.com,td.doubleclick.net/td/bjs,162752,eb8792e21d89b6b83e46f9eea321455bbe02a7bffb88996382d8b25f5b3106da
ipinfo.io,td.doubleclick.net/td/bjs,148402,3114d14b9ed3b70620cf691acfa3056fc373bd8c1ffd870b64866958261fabed
jooble.org,td.doubleclick.net/td/bjs,148531,537bf9a5daed0e8bfdb9ae5efb8e870c60ff38b38523b33b59dc9fe5e76ed35e
kayzen.io,td.doubleclick.net/td/bjs,162752,eb8792e21d89b6b83e46f9eea321455bbe02a7bffb88996382d8b25f5b3106da
lucid.app,td.doubleclick.net/td/bjs,175454,2ba65d412a82294ca89d0c43b51f3d20786220bb7f97b4db50bcbded5c12d796
mailchimp.com,td.doubleclick.net/td/bjs,148402,3114d14b9ed3b70620cf691acfa3056fc373bd8c1ffd870b64866958261fabed
mintj.com,fledge.ladsp.com/bidding_logic/v0/bidding_logic.js,4315,766681016e20629adbeb4c02a9f64e00264a6240dbda5cf7e8e1ed56c8d671d7
nl.pandora.net,td.doubleclick.net/td/bjs,175454,2ba65d412a82294ca89d0c43b51f3d20786220bb7f97b4db50bcbded5c12d796
nl.shein.com,td.doubleclick.net/td/bjs,148402,3114d14b9ed3b70620cf691acfa3056fc373bd8c1ffd870b64866958261fabed
ouraring.com,fledge.teads.tv/v1/bidding/bidding-logic.js,881,d795f65b0db419f7654fbb01cd7b3ad185745ef44e8e838fbf8be7250476c1cb
quillbot.com,td.doubleclick.net/td/bjs,148402,3114d14b9ed3b70620cf691acfa3056fc373bd8c1ffd870b64866958261fabed
reolink.com,td.doubleclick.net/td/bjs,148581,c9e7d72fe2417e8212545a90eebe19ae289a10af8e6d788da7364174a21d6e3c
reverb.com,td.doubleclick.net/td/bjs,174707,8ca4592352f61fa464d024236e23c37e5faf2162ec2ca61e99c2bae3ee609191
setapp.com,td.doubleclick.net/td/bjs,175454,2ba65d412a82294ca89d0c43b51f3d20786220bb7f97b4db50bcbded5c12d796
sumome.com,td.doubleclick.net/td/bjs,162752,eb8792e21d89b6b83e46f9eea321455bbe02a7bffb88996382d8b25f5b3106da
www.lacoste.com,td.doubleclick.net/td/bjs,175454,2ba65d412a82294ca89d0c43b51f3d20786220bb7f97b4db50bcbded5c12d796
www.lepoint.fr,td.doubleclick.net/td/bjs,148531,537bf9a5daed0e8bfdb9ae5efb8e870c60ff38b38523b33b59dc9fe5e76ed35e
www.levi.com,td.doubleclick.net/td/bjs,174707,c295cb31ac9eda96c720f2e2f36e26d6847ca5ca5fb58d9368761d28042d6e2d
www.lg.com,td.doubleclick.net/td/bjs,148402,3114d14b9ed3b70620cf691acfa3056fc373bd8c1ffd870b64866958261fabed
www.lightinthebox.com,td.doubleclick.net/td/bjs,148581,c9e7d72fe2417e8212545a90eebe19ae289a10af8e6d788da7364174a21d6e3c
www.livechat.com,td.doubleclick.net/td/bjs,148581,c9e7d72fe2417e8212545a90eebe19ae289a10af8e6d788da7364174a21d6e3c
www.lucidchart.com,td.doubleclick.net/td/bjs,162752,eb8792e21d89b6b83e46f9eea321455bbe02a7bffb88996382d8b25f5b3106da
www.made-in-china.com,td.doubleclick.net/td/bjs,148581,c9e7d72fe2417e8212545a90eebe19ae289a10af8e6d788da7364174a21d6e3c
www.marca.com,t.seedtag.com/ps/buyer/bidding-logic.js,1322,ea180b9616b6796cfbe6394dfb6e5ed3b8021474ba2371982111eb1bb2c9a379
www.marksandspencer.com,td.doubleclick.net/td/bjs,148402,3114d14b9ed3b70620cf691acfa3056fc373bd8c1ffd870b64866958261fabed
www.mcafee.com,td.doubleclick.net/td/bjs,148402,3114d14b9ed3b70620cf691acfa3056fc373bd8c1ffd870b64866958261fabed
www.melia.com,td.doubleclick.net/td/bjs,174707,c295cb31ac9eda96c720f2e2f36e26d6847ca5ca5fb58d9368761d28042d6e2d
www.microad.co.jp,privacy-sandbox-ot.send.microad.jp/static/scripts/biddingLogic.min.js,1084,9ddcec4ca2e36aade24af6b4449f9ad3a6599352bb3f6f199b8e1cba1659765f
www.mq.edu.au,td.doubleclick.net/td/bjs,162752,eb8792e21d89b6b83e46f9eea321455bbe02a7bffb88996382d8b25f5b3106da
www.msdmanuals.com,td.doubleclick.net/td/bjs,148581,c9e7d72fe2417e8212545a90eebe19ae289a10af8e6d788da7364174a21d6e3c
www.namecheap.com,td.doubleclick.net/td/bjs,148531,537bf9a5daed0e8bfdb9ae5efb8e870c60ff38b38523b33b59dc9fe5e76ed35e
www.netgear.com,td.doubleclick.net/td/bjs,148402,3114d14b9ed3b70620cf691acfa3056fc373bd8c1ffd870b64866958261fabed
www.nissen.co.jp,td.doubleclick.net/td/bjs,148531,537bf9a5daed0e8bfdb9ae5efb8e870c60ff38b38523b33b59dc9fe5e76ed35e
www.nyu.edu,td.doubleclick.net/td/bjs,148402,3114d14b9ed3b70620cf691acfa3056fc373bd8c1ffd870b64866958261fabed
www.nzz.ch,td.doubleclick.net/td/bjs,148531,537bf9a5daed0e8bfdb9ae5efb8e870c60ff38b38523b33b59dc9fe5e76ed35e
www.optimonk.com,td.doubleclick.net/td/bjs,162752,eb8792e21d89b6b83e46f9eea321455bbe02a7bffb88996382d8b25f5b3106da
www.parallels.com,td.doubleclick.net/td/bjs,148402,3114d14b9ed3b70620cf691acfa3056fc373bd8c1ffd870b64866958261fabed
www.parlons-basket.com,t.seedtag.com/ps/buyer/bidding-logic.js,1322,ea180b9616b6796cfbe6394dfb6e5ed3b8021474ba2371982111eb1bb2c9a379
www.philips-hue.com,td.doubleclick.net/td/bjs,148402,3114d14b9ed3b70620cf691acfa3056fc373bd8c1ffd870b64866958261fabed
www.philips.nl,td.doubleclick.net/td/bjs,148402,3114d14b9ed3b70620cf691acfa3056fc373bd8c1ffd870b64866958261fabed
www.pipedrive.com,td.doubleclick.net/td/bjs,174707,c295cb31ac9eda96c720f2e2f36e26d6847ca5ca5fb58d9368761d28042d6e2d
www.podbean.com,td.doubleclick.net/td/bjs,148402,3114d14b9ed3b70620cf691acfa3056fc373bd8c1ffd870b64866958261fabed
www.politico.eu,td.doubleclick.net/td/bjs,148402,3114d14b9ed3b70620cf691acfa3056fc373bd8c1ffd870b64866958261fabed
www.proofpoint.com,td.doubleclick.net/td/bjs,148402,3114d14b9ed3b70620cf691acfa3056fc373bd8c1ffd870b64866958261fabed
www.calzedonia.com,td.doubleclick.net/td/bjs,174707,c295cb31ac9eda96c720f2e2f36e26d6847ca5ca5fb58d9368761d28042d6e2d
www.casetify.com,td.doubleclick.net/td/bjs,162752,eb8792e21d89b6b83e46f9eea321455bbe02a7bffb88996382d8b25f5b3106da
www.constantcontact.com,td.doubleclick.net/td/bjs,148402,3114d14b9ed3b70620cf691acfa3056fc373bd8c1ffd870b64866958261fabed
www.cos.com,td.doubleclick.net/td/bjs,162752,eb8792e21d89b6b83e46f9eea321455bbe02a7bffb88996382d8b25f5b3106da
www.coursera.org,td.doubleclick.net/td/bjs,148402,3114d14b9ed3b70620cf691acfa3056fc373bd8c1ffd870b64866958261fabed
www.cricketwireless.com,td.doubleclick.net/td/bjs,148531,537bf9a5daed0e8bfdb9ae5efb8e870c60ff38b38523b33b59dc9fe5e76ed35e
www.crownpeak.com,td.doubleclick.net/td/bjs,148402,3114d14b9ed3b70620cf691acfa3056fc373bd8c1ffd870b64866958261fabed
www.datemyage.com,td.doubleclick.net/td/bjs,162752,eb8792e21d89b6b83e46f9eea321455bbe02a7bffb88996382d8b25f5b3106da
www.dating.com,td.doubleclick.net/td/bjs,162752,eb8792e21d89b6b83e46f9eea321455bbe02a7bffb88996382d8b25f5b3106da
www.decathlon.es,td.doubleclick.net/td/bjs,148572,61cd27587193a8b26da16802d6b913d52152b31d884d3b8391b332574941a924
www.domain.com,td.doubleclick.net/td/bjs,174707,c295cb31ac9eda96c720f2e2f36e26d6847ca5ca5fb58d9368761d28042d6e2d
www.doofinder.com,td.doubleclick.net/td/bjs,162752,eb8792e21d89b6b83e46f9eea321455bbe02a7bffb88996382d8b25f5b3106da
www.dreamstime.com,td.doubleclick.net/td/bjs,148402,3114d14b9ed3b70620cf691acfa3056fc373bd8c1ffd870b64866958261fabed
www.envato.com,td.doubleclick.net/td/bjs,148402,3114d14b9ed3b70620cf691acfa3056fc373bd8c1ffd870b64866958261fabed
www.equifax.com,td.doubleclick.net/td/bjs,174707,c295cb31ac9eda96c720f2e2f36e26d6847ca5ca5fb58d9368761d28042d6e2d
www.expressvpn.com,td.doubleclick.net/td/bjs,174707,c295cb31ac9eda96c720f2e2f36e26d6847ca5ca5fb58d9368761d28042d6e2d
www.ezoic.com,td.doubleclick.net/td/bjs,175454,2ba65d412a82294ca89d0c43b51f3d20786220bb7f97b4db50bcbded5c12d796
www.fairmont.com,fledge.teads.tv/v1/bidding/bidding-logic.js,881,d795f65b0db419f7654fbb01cd7b3ad185745ef44e8e838fbf8be7250476c1cb
www.recombee.com,td.doubleclick.net/td/bjs,175454,2ba65d412a82294ca89d0c43b51f3d20786220bb7f97b4db50bcbded5c12d796
www.rtbhouse.com,f.creativecdn.com/statics/buyer.js,19971,f364d80722aeca02de213b04169b5cd43fdbd037088f9c9ac2c52fd8a150b1b6
www.sas.com,td.doubleclick.net/td/bjs,148531,537bf9a5daed0e8bfdb9ae5efb8e870c60ff38b38523b33b59dc9fe5e76ed35e
www.scribd.com,td.doubleclick.net/td/bjs,148402,3114d14b9ed3b70620cf691acfa3056fc373bd8c1ffd870b64866958261fabed
www.shein.com.mx,td.doubleclick.net/td/bjs,148531,537bf9a5daed0e8bfdb9ae5efb8e870c60ff38b38523b33b59dc9fe5e76ed35e
www.sicredi.com.br,td.doubleclick.net/td/bjs,148581,c9e7d72fe2417e8212545a90eebe19ae289a10af8e6d788da7364174a21d6e3c
www.skechers.nl,td.doubleclick.net/td/bjs,174707,c295cb31ac9eda96c720f2e2f36e26d6847ca5ca5fb58d9368761d28042d6e2d
www.smartlook.com,td.doubleclick.net/td/bjs,175454,2ba65d412a82294ca89d0c43b51f3d20786220bb7f97b4db50bcbded5c12d796
www.sonicwall.com,td.doubleclick.net/td/bjs,148402,3114d14b9ed3b70620cf691acfa3056fc373bd8c1ffd870b64866958261fabed
www.splashtop.com,td.doubleclick.net/td/bjs,148402,3114d14b9ed3b70620cf691acfa3056fc373bd8c1ffd870b64866958261fabed
www.tado.com,td.doubleclick.net/td/bjs,162752,eb8792e21d89b6b83e46f9eea321455bbe02a7bffb88996382d8b25f5b3106da
www.teamviewer.com,td.doubleclick.net/td/bjs,148402,3114d14b9ed3b70620cf691acfa3056fc373bd8c1ffd870b64866958261fabed
www.teknosa.com,td.doubleclick.net/td/bjs,174707,c295cb31ac9eda96c720f2e2f36e26d6847ca5ca5fb58d9368761d28042d6e2d
www.templatemonster.com,td.doubleclick.net/td/bjs,175454,2ba65d412a82294ca89d0c43b51f3d20786220bb7f97b4db50bcbded5c12d796
www.thenorthface.nl,td.doubleclick.net/td/bjs,174707,c295cb31ac9eda96c720f2e2f36e26d6847ca5ca5fb58d9368761d28042d6e2d
www.thermofisher.com,td.doubleclick.net/td/bjs,174707,c295cb31ac9eda96c720f2e2f36e26d6847ca5ca5fb58d9368761d28042d6e2d
www.thetrainline.com,td.doubleclick.net/td/bjs,148581,c9e7d72fe2417e8212545a90eebe19ae289a10af8e6d788da7364174a21d6e3c
www.threatlocker.com,td.doubleclick.net/td/bjs,174707,c295cb31ac9eda96c720f2e2f36e26d6847ca5ca5fb58d9368761d28042d6e2d
www.ui.com,td.doubleclick.net/td/bjs,148402,3114d14b9ed3b70620cf691acfa3056fc373bd8c1ffd870b64866958261fabed
www.unicef.org,td.doubleclick.net/td/bjs,148402,3114d14b9ed3b70620cf691acfa3056fc373bd8c1ffd870b64866958261fabed
www.uniqlo.com,td.doubleclick.net/td/bjs,148402,3114d14b9ed3b70620cf691acfa3056fc373bd8c1ffd870b64866958261fabed
www.vans.nl,td.doubleclick.net/td/bjs,174707,c295cb31ac9eda96c720f2e2f36e26d6847ca5ca5fb58d9368761d28042d6e2d
www.very.co.uk,td.doubleclick.net/td/bjs,148531,537bf9a5daed0e8bfdb9ae5efb8e870c60ff38b38523b33b59dc9fe5e76ed35e
www.vinted.co.uk,td.doubleclick.net/td/bjs,148531,537bf9a5daed0e8bfdb9ae5efb8e870c60ff38b38523b33b59dc9fe5e76ed35e
www.vinted.com,td.doubleclick.net/td/bjs,162752,eb8792e21d89b6b83e46f9eea321455bbe02a7bffb88996382d8b25f5b3106da
www.vinted.fr,td.doubleclick.net/td/bjs,148402,3114d14b9ed3b70620cf691acfa3056fc373bd8c1ffd870b64866958261fabed
www.vinted.it,td.doubleclick.net/td/bjs,174707,c295cb31ac9eda96c720f2e2f36e26d6847ca5ca5fb58d9368761d28042d6e2d
www.vinted.pl,td.doubleclick.net/td/bjs,174707,c295cb31ac9eda96c720f2e2f36e26d6847ca5ca5fb58d9368761d28042d6e2d
www.vistaprint.com,td.doubleclick.net/td/bjs,148581,c9e7d72fe2417e8212545a90eebe19ae289a10af8e6d788da7364174a21d6e3c
www.westernunion.com,td.doubleclick.net/td/bjs,148531,537bf9a5daed0e8bfdb9ae5efb8e870c60ff38b38523b33b59dc9fe5e76ed35e
www.winzip.com,td.doubleclick.net/td/bjs,148531,537bf9a5daed0e8bfdb9ae5efb8e870c60ff38b38523b33b59dc9fe5e76ed35e
www.wish.com,td.doubleclick.net/td/bjs,148531,537bf9a5daed0e8bfdb9ae5efb8e870c60ff38b38523b33b59dc9fe5e76ed35e
www.wondershare.com,td.doubleclick.net/td/bjs,148581,c9e7d72fe2417e8212545a90eebe19ae289a10af8e6d788da7364174a21d6e3c
www2.hm.com,td.doubleclick.net/td/bjs,148402,3114d14b9ed3b70620cf691acfa3056fc373bd8c1ffd870b64866958261fabed
themeforest.net,td.doubleclick.net/td/bjs,148402,3114d14b9ed3b70620cf691acfa3056fc373bd8c1ffd870b64866958261fabed
www.busbud.com,td.doubleclick.net/td/bjs,162752,eb8792e21d89b6b83e46f9eea321455bbe02a7bffb88996382d8b25f5b3106da
www.felissimo.co.jp,td.doubleclick.net/td/bjs,174707,c295cb31ac9eda96c720f2e2f36e26d6847ca5ca5fb58d9368761d28042d6e2d
www.klaviyo.com,td.doubleclick.net/td/bjs,162752,eb8792e21d89b6b83e46f9eea321455bbe02a7bffb88996382d8b25f5b3106da
www.queensu.ca,td.doubleclick.net/td/bjs,148531,537bf9a5daed0e8bfdb9ae5efb8e870c60ff38b38523b33b59dc9fe5e76ed35e
toomics.com,td.doubleclick.net/td/bjs,148531,537bf9a5daed0e8bfdb9ae5efb8e870c60ff38b38523b33b59dc9fe5e76ed35e
ui.com,td.doubleclick.net/td/bjs,148402,3114d14b9ed3b70620cf691acfa3056fc373bd8c1ffd870b64866958261fabed
uisp.com,td.doubleclick.net/td/bjs,148402,3114d14b9ed3b70620cf691acfa3056fc373bd8c1ffd870b64866958261fabed
us.eufy.com,td.doubleclick.net/td/bjs,148581,c9e7d72fe2417e8212545a90eebe19ae289a10af8e6d788da7364174a21d6e3c
userway.org,td.doubleclick.net/td/bjs,148402,3114d14b9ed3b70620cf691acfa3056fc373bd8c1ffd870b64866958261fabed
www.aap.org,td.doubleclick.net/td/bjs,148581,c9e7d72fe2417e8212545a90eebe19ae289a10af8e6d788da7364174a21d6e3c
www.acehardware.com,td.doubleclick.net/td/bjs,148531,537bf9a5daed0e8bfdb9ae5efb8e870c60ff38b38523b33b59dc9fe5e76ed35e
www.acs.org,td.doubleclick.net/td/bjs,148402,3114d14b9ed3b70620cf691acfa3056fc373bd8c1ffd870b64866958261fabed
www.airasia.com,td.doubleclick.net/td/bjs,174707,c295cb31ac9eda96c720f2e2f36e26d6847ca5ca5fb58d9368761d28042d6e2d
www.aircanada.com,td.doubleclick.net/td/bjs,148531,537bf9a5daed0e8bfdb9ae5efb8e870c60ff38b38523b33b59dc9fe5e76ed35e
www.applovin.com,td.doubleclick.net/td/bjs,148402,3114d14b9ed3b70620cf691acfa3056fc373bd8c1ffd870b64866958261fabed
www.arlo.com,td.doubleclick.net/td/bjs,148581,c9e7d72fe2417e8212545a90eebe19ae289a10af8e6d788da7364174a21d6e3c
www.asics.com,fledge.teads.tv/v1/bidding/bidding-logic.js,948,48846b1432d650201d9572f0d431df59d98bc54501ffa07c4dcc58aa3cc444cf
www.asics.com,td.doubleclick.net/td/bjs,148531,537bf9a5daed0e8bfdb9ae5efb8e870c60ff38b38523b33b59dc9fe5e76ed35e
www.asos.com,td.doubleclick.net/td/bjs,148402,3114d14b9ed3b70620cf691acfa3056fc373bd8c1ffd870b64866958261fabed
www.att.com,td.doubleclick.net/td/bjs,148402,3114d14b9ed3b70620cf691acfa3056fc373bd8c1ffd870b64866958261fabed
www.autoscout24.de,td.doubleclick.net/td/bjs,148531,537bf9a5daed0e8bfdb9ae5efb8e870c60ff38b38523b33b59dc9fe5e76ed35e
www.autoscout24.it,td.doubleclick.net/td/bjs,148531,537bf9a5daed0e8bfdb9ae5efb8e870c60ff38b38523b33b59dc9fe5e76ed35e
www.banggood.com,td.doubleclick.net/td/bjs,174707,c295cb31ac9eda96c720f2e2f36e26d6847ca5ca5fb58d9368761d28042d6e2d
www.bitdefender.com,td.doubleclick.net/td/bjs,148402,3114d14b9ed3b70620cf691acfa3056fc373bd8c1ffd870b64866958261fabed
www.boots.com,td.doubleclick.net/td/bjs,148581,c9e7d72fe2417e8212545a90eebe19ae289a10af8e6d788da7364174a21d6e3c
www.fordham.edu,td.doubleclick.net/td/bjs,174707,c295cb31ac9eda96c720f2e2f36e26d6847ca5ca5fb58d9368761d28042d6e2d
www.grainger.com,td.doubleclick.net/td/bjs,175454,2ba65d412a82294ca89d0c43b51f3d20786220bb7f97b4db50bcbded5c12d796
www.grammarly.com,td.doubleclick.net/td/bjs,148402,3114d14b9ed3b70620cf691acfa3056fc373bd8c1ffd870b64866958261fabed
www.halfords.com,td.doubleclick.net/td/bjs,162752,eb8792e21d89b6b83e46f9eea321455bbe02a7bffb88996382d8b25f5b3106da
www.halloweencostumes.com,td.doubleclick.net/td/bjs,174707,c295cb31ac9eda96c720f2e2f36e26d6847ca5ca5fb58d9368761d28042d6e2d
www.handelsblatt.com,td.doubleclick.net/td/bjs,148581,c9e7d72fe2417e8212545a90eebe19ae289a10af8e6d788da7364174a21d6e3c
www.harley-davidson.com,td.doubleclick.net/td/bjs,174707,c295cb31ac9eda96c720f2e2f36e26d6847ca5ca5fb58d9368761d28042d6e2d
www.hbomax.com,td.doubleclick.net/td/bjs,148402,3114d14b9ed3b70620cf691acfa3056fc373bd8c1ffd870b64866958261fabed
www.hilton.com,td.doubleclick.net/td/bjs,148402,3114d14b9ed3b70620cf691acfa3056fc373bd8c1ffd870b64866958261fabed
www.ifixit.com,td.doubleclick.net/td/bjs,148531,537bf9a5daed0e8bfdb9ae5efb8e870c60ff38b38523b33b59dc9fe5e76ed35e
www.instant-gaming.com,td.doubleclick.net/td/bjs,148531,537bf9a5daed0e8bfdb9ae5efb8e870c60ff38b38523b33b59dc9fe5e76ed35e
www.intimissimi.com,td.doubleclick.net/td/bjs,174707,c295cb31ac9eda96c720f2e2f36e26d6847ca5ca5fb58d9368761d28042d6e2d
www.ixl.com,td.doubleclick.net/td/bjs,148402,3114d14b9ed3b70620cf691acfa3056fc373bd8c1ffd870b64866958261fabed
www.jimdo.com,td.doubleclick.net/td/bjs,148402,3114d14b9ed3b70620cf691acfa3056fc373bd8c1ffd870b64866958261fabed
www.jpost.com,td.doubleclick.net/td/bjs,148402,3114d14b9ed3b70620cf691acfa3056fc373bd8c1ffd870b64866958261fabed
www.juniper.net,td.doubleclick.net/td/bjs,162752,eb8792e21d89b6b83e46f9eea321455bbe02a7bffb88996382d8b25f5b3106da
www.kia.com,fledge.teads.tv/v1/bidding/bidding-logic.js,948,48846b1432d650201d9572f0d431df59d98bc54501ffa07c4dcc58aa3cc444cf
www.kingston.com,td.doubleclick.net/td/bjs,162752,eb8792e21d89b6b83e46f9eea321455bbe02a7bffb88996382d8b25f5b3106da
